sim time[s],generated time[s],received time[s],queue_owner,ID UAV,ID pkt,priority,type,size file[bit],cnt packet_sent,total pkt,state,total load [bps],bit tot lost[bps],bit relay lost[bps],bit UAVs lost[bps],bit lost congestion[bps],bit cong relay lost[bps],bit cong UAVs lost,bit lost expired[bps],bit exp relay lost[bps],bit exp UAVs lost,delta_t_msg
36.37682655165414,36,,queue,1,8,0,json,1280,1,1,removed - expiration,8295.445991461236,598.1830209708197,35.187236527695276,562.9957844431244,0.0,0.0,0.0,598.1830209708197,35.187236527695276,562.9957844431244,4
36.39788683398606,32.72224023480471,36.39788683398606,relay,9,90,0,jpg,2400,20,55.0,RECEIVED,8356.584034323461,597.8369046326579,35.166876743097525,562.6700278895604,0.0,0.0,0.0,597.8369046326579,35.166876743097525,562.6700278895604,4
36.446309995399076,32.72224023480471,36.446309995399076,relay,9,91,0,jpg,2400,21,55.0,RECEIVED,8411.331628323962,597.0426087784181,35.120153457554004,561.9224553208641,0.0,0.0,0.0,597.0426087784181,35.120153457554004,561.9224553208641,4
36.49473353270086,32.72224023480471,36.49473353270086,relay,9,92,0,jpg,2400,22,55.0,RECEIVED,8465.933851062555,596.2504146112506,35.0735538006618,561.1768608105888,0.0,0.0,0.0,596.2504146112506,35.0735538006618,561.1768608105888,4
36.54315744589546,32.72224023480471,36.54315744589546,relay,9,93,0,jpg,2400,23,55.0,RECEIVED,8520.391278750114,595.4603138006645,35.02707728239203,560.4332365182725,0.0,0.0,0.0,595.4603138006645,35.02707728239203,560.4332365182725,4
36.54439339759552,36,,queue,4,8,0,json,1280,1,1,removed - expiration,8555.129007027672,630.4660676489965,35.02589264716647,595.4401750018301,0.0,0.0,0.0,630.4660676489965,35.02589264716647,595.4401750018301,4
36.56441681535,36,,queue,8,8,0,json,1280,1,1,removed - expiration,8585.450756272237,665.1275233737706,35.00671175651424,630.1208116172564,0.0,0.0,0.0,665.1275233737706,35.00671175651424,630.1208116172564,4
36.59158173498691,32.72224023480471,36.59158173498691,relay,9,94,0,jpg,2400,24,55.0,RECEIVED,8644.665931386886,664.6337448907414,34.98072341530217,629.6530214754391,0.0,0.0,0.0,664.6337448907414,34.98072341530217,629.6530214754391,4
36.64000639997925,32.72224023480471,36.64000639997925,relay,9,95,0,jpg,2400,25,55.0,RECEIVED,8698.743022058547,663.755342575862,34.93449171451905,628.8208508613428,0.0,0.0,0.0,663.755342575862,34.93449171451905,628.8208508613428,4
36.64547239088282,36,,queue,7,8,0,json,1280,1,1,removed - expiration,8732.374809817285,698.5856186252665,34.92928093126332,663.6563376940031,0.0,0.0,0.0,698.5856186252665,34.92928093126332,663.6563376940031,4
36.67569465687836,36,,queue,2,8,0,json,1280,1,1,removed - expiration,8760.079475133949,732.9104534072887,34.900497781299464,698.0099556259893,0.0,0.0,0.0,732.9104534072887,34.900497781299464,698.0099556259893,4
36.68843144087651,32.72224023480471,36.68843144087651,relay,9,96,0,jpg,2400,26,55.0,RECEIVED,8822.454034907822,732.6560156521595,34.888381697721876,697.7676339544375,0.0,0.0,0.0,732.6560156521595,34.888381697721876,697.7676339544375,4
36.73685685768274,32.72224023480471,36.73685685768274,relay,9,97,0,jpg,2400,27,55.0,RECEIVED,8876.154028724612,731.6902505876361,34.84239288512553,696.8478577025105,0.0,0.0,0.0,731.6902505876361,34.84239288512553,696.8478577025105,4
36.785282650401946,32.72224023480471,36.785282650401946,relay,9,98,0,jpg,2400,28,55.0,RECEIVED,8929.71254623242,730.7270207887416,34.79652479946389,695.9304959892778,0.0,0.0,0.0,730.7270207887416,34.79652479946389,695.9304959892778,4
36.833708819038165,32.72224023480471,36.833708819038165,relay,9,99,0,jpg,2400,29,55.0,RECEIVED,8983.130143793114,729.7663162854399,34.75077696597332,695.0155393194665,0.0,0.0,0.0,729.7663162854399,34.75077696597332,695.0155393194665,4
36.882135363595424,32.72224023480471,36.882135363595424,relay,9,100,0,jpg,2400,30,55.0,RECEIVED,9036.40737485516,728.8081271599027,34.70514891237632,694.1029782475264,0.0,0.0,0.0,728.8081271599027,34.70514891237632,694.1029782475264,4
36.93056228407774,32.72224023480471,36.93056228407774,relay,9,101,0,jpg,2400,31,55.0,RECEIVED,9089.54478997267,727.8524435461699,34.65964016886523,693.1928033773046,0.0,0.0,0.0,727.8524435461699,34.65964016886523,693.1928033773046,4
36.97898958048912,32.72224023480471,36.97898958048912,relay,9,102,0,jpg,2400,32,55.0,RECEIVED,9142.542936824295,726.8992556298089,34.61425026808614,692.2850053617227,0.0,0.0,0.0,726.8992556298089,34.61425026808614,692.2850053617227,4
36.982849353062015,36,,queue,10,8,0,json,1280,1,1,removed - expiration,9176.199398814098,761.4340293568666,34.6106376980394,726.8233916588273,0.0,0.0,0.0,761.4340293568666,34.6106376980394,726.8233916588273,4
37.027417252833594,32.72224023480471,37.027417252833594,relay,9,103,0,jpg,2400,33,55.0,RECEIVED,9229.971338977093,760.517532392703,34.56897874512286,725.9485536475801,0.0,0.0,0.0,760.517532392703,34.56897874512286,725.9485536475801,4
37.075845301115166,32.72224023480471,37.075845301115166,relay,9,104,0,jpg,2400,34,55.0,RECEIVED,9282.647427317006,759.524153024584,34.52382513748109,725.0003278871029,0.0,0.0,0.0,759.524153024584,34.52382513748109,725.0003278871029,4
37.124273725337844,32.72224023480471,37.124273725337844,relay,9,105,0,jpg,2400,35,55.0,RECEIVED,9335.185990816206,758.5333576715981,34.47878898507264,724.0545686865254,0.0,0.0,0.0,758.5333576715981,34.47878898507264,724.0545686865254,4
37.17270252550564,32.72224023480471,37.17270252550564,relay,9,106,0,jpg,2400,36,55.0,RECEIVED,9387.587565379825,757.5451362643952,34.43386983019978,723.1112664341955,0.0,0.0,0.0,757.5451362643952,34.43386983019978,723.1112664341955,4
37.221131701622554,32.72224023480471,37.221131701622554,relay,9,107,0,jpg,2400,37,55.0,RECEIVED,9439.852684132205,756.5594787858759,34.38906721753981,722.170411568336,0.0,0.0,0.0,756.5594787858759,34.38906721753981,722.170411568336,4
37.269561253692586,32.72224023480471,37.269561253692586,relay,9,108,0,jpg,2400,38,55.0,RECEIVED,9491.9818774349,755.576375270851,34.34438069412959,721.2319945767215,0.0,0.0,0.0,755.576375270851,34.34438069412959,721.2319945767215,4
37.317991181719734,32.72224023480471,37.317991181719734,relay,9,109,0,jpg,2400,39,55.0,RECEIVED,9543.975672904558,754.5958158057075,34.29980980935034,720.2960059963572,0.0,0.0,0.0,754.5958158057075,34.29980980935034,720.2960059963572,4
37.366421485707995,32.72224023480471,37.366421485707995,relay,9,110,0,jpg,2400,40,55.0,RECEIVED,9595.834595430651,753.6177905280737,34.25535411491244,719.3624364131613,0.0,0.0,0.0,753.6177905280737,34.25535411491244,719.3624364131613,4
37.40103555152117,36,,queue,3,8,0,json,1280,1,1,removed - expiration,9621.177453878401,787.1439805308445,34.22365132742802,752.9203292034165,0.0,0.0,0.0,787.1439805308445,34.22365132742802,752.9203292034165,4
37.41485216566136,32.72224023480471,37.41485216566136,relay,9,111,0,jpg,2400,41,55.0,RECEIVED,9681.770180357918,786.8533027913304,34.21101316484045,752.64228962649,0.0,0.0,0.0,786.8533027913304,34.21101316484045,752.64228962649,4
37.463283221583815,32.72224023480471,37.463283221583815,relay,9,112,0,jpg,2400,42,55.0,RECEIVED,9733.316694195075,785.8360898555378,34.16678651545816,751.6693033400796,0.0,0.0,0.0,785.8360898555378,34.16678651545816,751.6693033400796,4
37.51171465347935,32.72224023480471,37.51171465347935,relay,9,113,0,jpg,2400,43,55.0,RECEIVED,9784.73000742864,784.8214956835978,34.12267372537382,750.698821958224,0.0,0.0,0.0,784.8214956835978,34.12267372537382,750.698821958224,4
37.560146461351955,32.72224023480471,37.560146461351955,relay,9,114,0,jpg,2400,44,55.0,RECEIVED,9836.010633774886,783.8095101757045,34.07867435546542,749.7308358202391,0.0,0.0,0.0,783.8095101757045,34.07867435546542,749.7308358202391,4
37.608578645205604,32.72224023480471,37.608578645205604,relay,9,115,0,jpg,2400,45,55.0,RECEIVED,9887.159084311817,782.8001232839214,34.03478796886615,748.7653353150553,0.0,0.0,0.0,782.8001232839214,34.03478796886615,748.7653353150553,4
37.65701120504428,32.72224023480471,37.65701120504428,relay,9,116,0,jpg,2400,46,55.0,RECEIVED,9938.175867496066,781.7933250118484,33.991014130949935,747.8023108808985,0.0,0.0,0.0,781.7933250118484,33.991014130949935,747.8023108808985,4
37.696581416195556,36,,queue,5,8,0,json,1280,1,1,removed - expiration,9961.699069047803,814.9280079493305,33.95533366455544,780.9726742847752,0.0,0.0,0.0,814.9280079493305,33.95533366455544,780.9726742847752,4
37.705444140871954,32.72224023480471,37.705444140871954,relay,9,117,0,jpg,2400,47,55.0,RECEIVED,10023.008841589006,814.7364578236098,33.94735240931708,780.7891054142927,0.0,0.0,0.0,814.7364578236098,33.94735240931708,780.7891054142927,4
37.7538774526926,32.72224023480471,37.7538774526926,relay,9,118,0,jpg,2400,48,55.0,RECEIVED,10073.720255000602,813.6912569707209,33.90380237378004,779.7874545969408,0.0,0.0,0.0,813.6912569707209,33.90380237378004,779.7874545969408,4
37.80231114051019,32.72224023480471,37.80231114051019,relay,9,119,0,jpg,2400,49,55.0,RECEIVED,10124.301622126553,812.6487263123827,33.86036359634927,778.7883627160334,0.0,0.0,0.0,812.6487263123827,33.86036359634927,778.7883627160334,4
