,Time_stamp [s],id_drone,T_amb [°C],T-right,T-left,wind speed [m/s],wind angle[°],position_x [m],position_y [m],UAV speed [m/s],battery level [%],waypoint distance [m],distance from GS [m],bitrate [Mbps]
291,90.0,2.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,328.9342000312179,127.41917253813448,12.258225268209308,54.552544744951994,141.41371975729834,529.1266817417927,0.1
292,90.0,3.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,337.73223615881983,78.49635957597572,12.147630162651957,54.552544744951994,441.7364335199748,520.1015949474822,0.1
293,90.0,4.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,340.1004541958793,56.46198946611276,12.102899417358115,54.552544744951994,745.1608002683,517.13307687394,0.05
294,90.0,5.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,341.0021776003416,44.031314164974695,12.079146892826797,54.552544744951994,1050.0434524194457,515.7497396503043,0.05
295,90.0,6.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,132.31708444083117,461.3007729040693,13.228913611395543,54.552544744951994,77.1912417074127,719.8534443293516,0.1
296,90.0,7.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,257.9840952517004,299.80573569289396,12.741733207434484,54.552544744951994,310.9438493460504,593.2860720206489,0.025
297,90.0,8.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,302.46738539027854,210.9001105162682,12.477874786166362,54.552544744951994,567.5259496430224,553.1022470044414,0.1
298,90.0,9.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,320.4578791772435,159.6030452933539,12.3387169717631,54.552544744951994,843.1691345760721,537.0049952149427,0.1
299,90.0,10.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,328.9342000312179,127.41917253813448,12.258225268209308,54.552544744951994,1129.7434015942854,529.1266817417927,0.1
300,93.0,1.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,182.62077521875787,206.36545758803067,13.592978935715994,53.99826824865347,147.53981783821433,413.3501683328423,0.05
301,93.0,2.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,362.90992969917147,140.5803438613326,12.258225268209308,53.99826824865347,104.97793189607003,583.7803635336352,0.1
302,93.0,3.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,372.90185948891394,86.67054937339995,12.147630162651957,53.99826824865347,405.62937348976726,574.2621849927937,0.05
303,93.0,4.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,375.5888317417546,62.353614644627186,12.102899417358115,53.99826824865347,709.1866958585626,571.0942334885461,0.05
304,93.0,5.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,376.6100662716928,48.629120970411726,12.079146892826797,53.99826824865347,1014.1399489267297,569.6049948893781,0.05
305,93.0,6.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,143.1585461935184,499.0976659285745,13.228913611395543,53.99826824865347,37.870224232773644,778.8349705413101,0.1
306,93.0,7.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,282.6870619385764,328.5132848700254,12.741733207434484,53.99826824865347,273.07090461118287,650.0954891229501,0.025
307,93.0,8.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,332.89063344190646,232.11319558351659,12.477874786166362,53.99826824865347,530.4372856055944,608.7352430605833,0.1
308,93.0,9.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,353.2866375048152,175.9533057885312,12.3387169717631,53.99826824865347,806.4940968584328,592.0175517914016,0.1
309,93.0,10.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,362.90992969917147,140.5803438613326,12.258225268209308,53.99826824865347,1093.307613733057,583.7803635336352,0.1
310,96.0,1.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,180.21188743858565,246.01576673226478,13.592978935715994,53.45331676712325,107.81640212945638,457.4387217692044,0.05
311,96.0,2.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,396.3140598440824,153.5200947963731,12.258225268209308,53.45331676712325,69.15513098660696,637.5145648978298,0.1
312,96.0,3.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,407.47979751548326,94.70721856316902,12.147630162651957,53.45331676712325,370.12976997317776,627.5115902676778,0.05
313,96.0,4.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,410.4801613396674,68.14612053490569,12.102899417358115,53.45331676712325,673.8178111489893,624.1475605529064,0.05
314,96.0,5.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,411.61889636858467,53.14957537745399,12.079146892826797,53.45331676712325,978.8404773612915,622.5542022375356,0.05
315,96.0,6.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,153.131504293073,534.1459502041049,12.784292589144323,53.45331676712325,155.4491259616852,833.4942086689251,0.1
316,96.0,7.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,306.974431841691,356.73786512852774,12.741733207434484,53.45331676712325,235.83512521045927,705.9491582240356,0.025
317,96.0,8.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,362.80204806874366,252.9693967979324,12.477874786166362,53.45331676712325,493.9725923520544,663.4322829408934,0.1
318,96.0,9.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,385.5630926799454,192.0284934245823,12.3387169717631,53.45331676712325,770.4360711747319,646.1045903169531,0.1
319,96.0,10.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,396.3140598440824,153.5200947963731,12.258225268209308,53.45331676712325,1057.484812823594,637.5145648978298,0.1
320,99.0,1.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,177.8217400239226,285.3576093335465,13.592978935715994,52.91260483134216,68.40202170900771,504.34259880244906,0.05
321,99.0,2.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,429.45831669245376,166.35917866667322,12.258225268209308,52.91260483134216,33.61101984763751,690.830731606284,0.1
322,99.0,3.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,441.78873040096585,102.68136507366206,12.147630162651957,52.91260483134216,334.9063418562077,680.3467324431329,0.05
323,99.0,4.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,445.10004771172987,73.8935626083926,12.102899417358115,52.91260483134216,638.7240848891205,676.7881499427094,0.05
324,99.0,5.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,446.3553691238602,57.634862115602644,12.079146892826797,52.91260483134216,943.8156242338134,675.0914819287527,0.05
325,99.0,6.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,139.48824303584072,499.6784370293329,12.784292589144323,52.91260483134216,118.37962310305251,778.174079720554,0.1
326,99.0,7.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,331.0728538855551,384.74286730840913,12.741733207434484,52.91260483134216,198.8890280945343,761.368303897923,0.025
327,99.0,8.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,392.4807615927676,273.6633435324569,12.477874786166362,52.91260483134216,457.791582583221,717.7037975941436,0.1
328,99.0,9.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,417.58844750399345,207.97862131546566,12.3387169717631,52.91260483134216,734.6585652339636,699.7708492281056,0.1
329,99.0,10.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,429.45831669245376,166.35917866667322,12.258225268209308,52.91260483134216,1021.9407016846245,690.830731606284,0.1
330,102.0,1.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,176.20931806961653,311.89808560040444,13.592978935715994,52.547834110147285,41.812610564148244,537.3479450462727,0.05
331,102.0,2.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,451.81782768897693,175.02057778316492,12.258225268209308,52.547834110147285,9.632538522524275,726.7984535939538,0.025
332,102.0,3.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,464.93394574374446,108.06081942090945,12.147630162651957,52.547834110147285,311.1441971226675,715.9899495434432,0.05
333,102.0,4.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,468.4550359854389,77.77085558352007,12.102899417358115,52.547834110147285,615.0494385753937,712.3001194132997,0.05
334,102.0,5.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,469.7890079622635,60.6606900472107,12.079146892826797,52.547834110147285,920.1874405566787,710.5337574444551,0.05
335,102.0,6.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,130.28433626233536,476.4262415319405,12.784292589144323,52.547834110147285,93.37209432981437,740.8784898787577,0.1
