sim time[s],generated time[s],received time[s],queue_owner,ID UAV,ID pkt,priority,type,size file[bit],cnt packet_sent,total pkt,state,latency per pkt[s],total latency [s],latency tot[bps],latency RELAY [bps],latency UAVs [bps],delta msg [s]
32.72184560543344,32,32.72184560543344,relay,9,20,0,jpg,2400,14,63.0,RECEIVED,0.7218456054334368,,0.2934251000160713,0.07003813488251488,0.37964463041849666,4
32.77024023480471,32,32.77024023480471,relay,9,21,0,jpg,2400,15,63.0,RECEIVED,0.7702402348047102,,0.28975728626587044,0.0669929985832751,0.37964463041849666,4
32.818635239748254,32,32.818635239748254,relay,9,22,0,jpg,2400,16,63.0,RECEIVED,0.8186352397482537,,0.2861800358181436,0.0642016236423053,0.37964463041849666,4
32.86703062026837,32,32.86703062026837,relay,9,23,0,jpg,2400,17,63.0,RECEIVED,0.8670306202683733,,0.282690035381337,0.06163355869661309,0.37964463041849666,4
32.91542637636936,32,32.91542637636936,relay,9,24,0,jpg,2400,18,63.0,RECEIVED,0.9154263763693606,,0.279284131340598,0.05926303720828182,0.37964463041849666,4
32.963822508055515,32,32.963822508055515,relay,9,25,0,jpg,2400,19,63.0,RECEIVED,0.9638225080555145,,0.2759593202532099,0.057068109904271386,0.37964463041849666,4
33.01221901533112,32,33.01221901533112,relay,9,26,0,jpg,2400,20,63.0,RECEIVED,1.0122190153311195,,0.2727127400149369,0.05502996312197598,0.37964463041849666,4
33.06061589820046,32,33.06061589820046,relay,9,27,0,jpg,2400,21,63.0,RECEIVED,1.06061589820046,,0.2695416616426702,0.05313237818673543,0.37964463041849666,4
33.10901315666782,32,33.10901315666782,relay,9,28,0,jpg,2400,22,63.0,RECEIVED,1.109013156667821,,0.2664434816237889,0.05136129891384424,0.37964463041849666,4
33.15741079073748,32,33.15741079073748,relay,9,29,0,jpg,2400,23,63.0,RECEIVED,1.1574107907374795,,0.2634157147871549,0.049704482819849266,0.37964463041849666,4
33.20580880041371,32,33.20580880041371,relay,9,30,0,jpg,2400,24,63.0,RECEIVED,1.2058088004137133,,0.260455987654715,0.04815121773172898,0.37964463041849666,4
33.254207185700785,32,33.254207185700785,relay,9,31,0,jpg,2400,25,63.0,RECEIVED,1.2542071857007855,,0.2575620322363293,0.04669208992167659,0.37964463041849666,4
